Name,Description,Price,Duration,"Raw Price Text"
"Wash + cut + blowdry packages","Short is considered nape of the neck and above. Medium is shoulder length. Long is anything past the shoulders.",$50.00,50min,"Price varies ・ 50 min+"
"Root stretch/shadow + face frame foils only + cut + blowdry",,"from $180.00","2hr 20min","FROM $180.00 ・ 2 hr 20 min"
"Permanant/semi regrowth touch up + 10 foils + cut + blowdry",,"from $180.00","2hr 20min","FROM $180.00 ・ 2 hr 20 min"
"Toner + cut + blowdry",,"from $135.00","1hr 20min","from $135 ・ 1 hr 20 min"
"Women's dry cut","Please ensure you arrive for your appointment with hair freshly washed and dry. This option is for existing clients only, if you are a new client, please choose the wash + cut + blowdry option for your first visit.",$40.00,30min,"$40 ・ 30 min"
"Regrowth touch up package","permanent and semi-permanent colour regrowth touch up + cut + blowdry *price based on standard volume of colour, pls note extra $10/$20 for thick/extra thick hair.","from $135.00","1hr 55min","FROM $135.00 ・ 1 hr 55 min"
"Full colour all over package","one solid colour all over + cut + blowdry","from $160.00","2hr 10min","FROM $160.00 ・ 2 hr 10 min"
"1/4 head of foils package","This is a touch up service for those who only need their part line and hairline foiled, or those clients new to colour who just want some scattered highlights through the front. Includes cut + blowdry","from $155.00",2hr,"FROM $155.00 ・ 2 hr"
"1/2 head foils package","This package includes 1/2 head of foils, + toner + cut + blowdry","from $180.00","2hr 20min","FROM $180.00 ・ 2 hr 20 min"
"Bleach regrowth touch up package","full scalp bleach (roots only) + Toner + cut + blowdry","from $180.00","2hr 40min","FROM $180.00 ・ 2 hr 40 min"
"Streaks package","This service is done with the rubber cap and streaking hook. Includes cut + blowdry. Price based on short hair only.","from $160.00","1hr 50min","FROM $160.00 ・ 1 hr 50 min"
"Full head foils package","full head of foils + Toner + cut + blowdry","from $300.00",4hr,"FROM $300.00 ・ 4 hr"
"Balayage package","handpainted colour (to create a very natural sun highlighted look) with a few foils around hairline + Toner + cut + blowdry","from $300.00","3hr 20min","FROM $300.00 ・ 3 hr 20 min"
"Men's cut",,$27.00,25min,"$27.00 ・ 25 min"
"Kid's cut (under 12)",,$27.00,25min,"$27.00 ・ 25 min"
"Wash + blowdry packages","Short hair is anything above the nape of the neck. Medium is shoulder length. Long is past the shoulders.",$35.00,35min,"Price varies ・ 35 min+"
"Upstyle / Special event hair",,"from $75.00","1hr 15min","from $75.00 ・ 1 hr 15 min"
